0;online - ZarzÄ?dzanie zakupami;UsA?ugi;1291.50;1050.00;https://static.szkolenia.com/public/companies/1814/1858/thumb/logo_effect-group-sp-z-oo-1557488606.jpg;1;"CEL I PROGRAM SZKOLENIAKorzyA?ci dla uczestnikA3w:Poznanie metod zbierania i weryfikacji danych dotyczÄ?cych rynku produktA3w i ich dostawcA3w oraz budowania odpowiednich strategii zakupowych,Poznanie efektywnych metod zarzÄ?dzania grupami asortymentowych i dostosowania do nich odpowiednich strategii zakupowychPoznanie rA3A1nych sposobA3w redukcji wydatkA3w zakupA3w poprzez dobranie kryteriA3w i zasad wyboru dostawcA3wPoznanie narzÄ?dzi oraz etapA3w zbudowania i rozwijania relacji z dostawcami, szczegA3lnie w ";999999;0;10/1/2021;0;0
1;online - Negocjacje zakupowe;UsA?ugi;1291.50;1050.00;https://static.szkolenia.com/public/companies/1814/1858/thumb/logo_effect-group-sp-z-oo-1557488606.jpg;1;"CEL I PROGRAM SZKOLENIATo szkolenie, bez wychodzenia z pracy lub z domu, pozwoli PaA?stwu na uczestnictwo w peA?nowartoA?ciowych warsztatach i spotkaniach.";999999;0;10/1/2021;0;0
2;online - Negocjacje z dostawcami;UsA?ugi;1291.50;1050.00;https://static.szkolenia.com/public/companies/1814/1858/thumb/logo_effect-group-sp-z-oo-1557488606.jpg;1;"CEL I PROGRAM SZKOLENIACel szkoleniaPoznanie, uzupeA?nienie lub rozszerzenie wiedzy zwiÄ?zanej z tematem szkolenia,Poznanie technik negocjacyjnych,Zapoznanie siÄ? z narzÄ?dziem zwiÄ?kszenia efektywnoA?ci negocjacyjnej czyli kompleksowego profilu negocjatora,Przedstawienie metody profesjonalnego przygotowania siÄ? do negocjacji.";999999;0;10/1/2021;0;0
3;Gospodarka Magazynowa. Optymalna Organizacja i Prowadzenie Gospodarki Magazynowej w Nowoczesnym PrzedsiÄ?biorstwie.;UsA?ugi;971.70;790.00;https://static.szkolenia.com/public/companies/1312/1339/thumb/logo_atl-achievement-through-learning-sp-z-oo-1557488380.jpg;1;"Zakres tematyczny szkoleniaSzczegA3A?owe informacje uzyskacie PaA?stwo pod nr telefonu:22 853 35 23, tel.";999999;0;11/21/2021;0;0
4;online - Przygotowanie inwentaryzacji â?? z uwzglÄ?dnieniem organizacji w warunkach COVID-19;UsA?ugi;676.50;550.00;https://static.szkolenia.com/public/companies/1814/2106/thumb/logo_effect-group-sp-z-oo-1557488606.jpg;1;"Cel szkolenia:zapoznanie uczestnikA3w z wymaganiami prawnymi dotyczÄ?cymi inwentaryzacji,nabycie praktycznej umiejÄ?tnoA?ci przygotowania i przeprowadzenia inwentaryzacji,poznanie podstawowych bA?Ä?dA3w popeA?nianych podczas inwentaryzacji oraz metod ich zapobiegania,zaznajomienie uczestnikA3w z prawami i obowiÄ?zkami audytorA3w zewnÄ?trznych.";999999;0;10/1/2021;0;0
5;SprzedaA1 doradcza dla (i do) inA1ynierA3w - Langas Group - Level Up!;UsA?ugi;2300.10;1870.00;https://static.szkolenia.com/public/companies/1333/1361/thumb/langasgroup_orange_final-1591204612.png;1;BranA1a techniczna rzÄ?dzi siÄ? swoimi prawami â?? nie znosi bujdy i niefachowoA?ci.;999999;0;10/1/2021;0;0
6;SprzedaA1 doradcza dla (i do) inA1ynierA3w;UsA?ugi;2300.10;1870.00;https://static.szkolenia.com/public/companies/1333/1361/thumb/langasgroup_orange_final-1591204612.png;1;BranA1a techniczna rzÄ?dzi siÄ? swoimi prawami â?? nie znosi bujdy i niefachowoA?ci.;999999;0;11/21/2021;0;0
7;Strategie generowania oszczÄ?dnoA?ci w zakupach;UsA?ugi;1193.10;970.00;https://static.szkolenia.com/public/companies/1333/1361/thumb/langasgroup_orange_final-1591204612.png;1;"Czas wszelkich kryzysA3w to zawsze sprawdzian dla tych, ktA3rzy faktycznie dodajÄ? wartoA?Ä?.";999999;0;10/1/2021;0;0
8;"Metody oceny dostawcA3w, STRUKTURALNE I METODYCZNE NARZÄ˜DZIA OCENY DOSTAWCA?W I PRECYZYJNEGO DOBORU PARTNERA?W HANDLOWYCH";UsA?ugi;1193.10;970.00;https://static.szkolenia.com/public/companies/1333/1361/thumb/langasgroup_orange_final-1591204612.png;1;"WielkoA?Ä? wydatkA3w, jakie firmy zostawiajÄ? u swoich dostawcA3w, wynosi A?rednio 60% wartoA?ci caA?ego ich obrotu, a niejednokrotnie wskaAonik ten przekracza nawet 85%.";999999;0;10/1/2021;0;0
9;online - Techniki sprzedaA1y pozyskiwania i obsA?ugi klientA3w;UsA?ugi;1217.70;990.00;https://static.szkolenia.com/public/companies/1814/2106/thumb/logo_effect-group-sp-z-oo-1557488606.jpg;1;"CEL I PROGRAM SZKOLENIAIstniejÄ? opinie, A1e caA?a dziaA?alnoA?Ä? czA?owieka jest sprzedawaniem â?? albo ktoA? nas i firmÄ? ,,kupiâ?? â?? zaakceptuje produkty, wizerunek, profesjonalizm, kompetencje, umiejÄ?tnoA?ci â?? albo ,,nie kupiâ??.";999999;0;11/21/2021;0;0
