Gospodarka Magazynowa. Optymalna Organizacja i Prowadzenie Gospodarki Magazynowej w Nowoczesnym Przedsiębiorstwie.;Usługi;971.70;790.00;https://static.szkolenia.com/public/posters/50/perfectio-baner-pod-fasetami-1633515014.png;1;1;Zakres tematyczny szkoleniaSzczegółowe informacje uzyskacie Państwo pod nr telefonu:22 853 35 23, tel. kom.: 607 573 053  Adresaci szkolenia:szkolenie skierowane jest do pracowników odpowiadających za prawidłowe funkcjonowania magazynów różnych branż, w tym kierowników działów zaopatrzenia i magazynów, ich zastępców oraz pozostałych pracowników. Dzięki udziale w szkoleniu uczestnicy:będą potrafili opracować zakres zadań i odpowiedzialności pracowników gospodarki materiałowej i magazynowej,będą ;999999
online - Przygotowanie inwentaryzacji – z uwzględnieniem organizacji w warunkach COVID-19;Usługi;676.50;550.00;https://static.szkolenia.com/public/posters/50/wsb-gdansk-1610538988.png;1;1;Cel szkolenia:zapoznanie uczestników z wymaganiami prawnymi dotyczącymi inwentaryzacji,nabycie praktycznej umiejętności przygotowania i przeprowadzenia inwentaryzacji,poznanie podstawowych błędów popełnianych podczas inwentaryzacji oraz metod ich zapobiegania,zaznajomienie uczestników z prawami i obowiązkami audytorów zewnętrznych. Szkolenie skierowane do:osób odpowiedzialnych za organizację oraz przeprowadzenie inwentaryzacji,osób zarządzających produkcją, logistyką, magazynami,pracowników mag;999999
Sprzedaż doradcza dla (i do) inżynierów - Langas Group - Level Up!;Usługi;2300.10;1870.00;https://static.szkolenia.com/public/posters/50/vidi-banner-maly-1575369276.png;1;1;Branża techniczna rządzi się swoimi prawami – nie znosi bujdy i niefachowości. Za to ceni ludzi, którzy znają się na robocie. Jednak, jako że wszyscy jesteśmy „ludźmi”, którzy mają swoje emocje, w programie znajdują się zagadnienia relacji międzyludzkich, mowy ciała, typów rozmówców.Jesteś ekspertem w swojej dziedzinie, ale Twoje umiejętności sprzedażowe wymagają doszlifowania? Poznaj metody sprzedaży doradczej i naucz się generować zyski z twoich kompetencji. CELE SZKOLENIAZwiększenie efektywn;999999
Sprzedaż doradcza dla (i do) inżynierów;Usługi;2300.10;1870.00;https://static.szkolenia.com/public/posters/16/kompetea-baner1-1635926752.png;1;1;Branża techniczna rządzi się swoimi prawami – nie znosi bujdy i niefachowości. Za to ceni ludzi, którzy znają się na robocie. Jednak, jako że wszyscy jesteśmy „ludźmi”, którzy mają swoje emocje, w programie znajdują się zagadnienia relacji międzyludzkich, mowy ciała, typów rozmówców.Jesteś ekspertem w swojej dziedzinie, ale Twoje umiejętności sprzedażowe wymagają doszlifowania? Poznaj metody sprzedaży doradczej i naucz się generować zyski z twoich kompetencji. CELE SZKOLENIAZwiększenie efektywn;999999
Strategie generowania oszczędności w zakupach;Usługi;1193.10;970.00;https://static.szkolenia.com/public/posters/16/avanhansen-szkolenie-2021-1635401431.png;1;1;Czas wszelkich kryzysów to zawsze sprawdzian dla tych, którzy faktycznie dodają wartość. A jaką wartość dla biznesu przyniesie Twój dział zakupów?Dla znalezienia odpowiedzi na to pytanie kluczowe jest najpierw zrozumienie z jakimi problemami mierzy się cała Twoja firma. Jakie są bieżące potrzeby? Jakich problemów doświadcza biznes, dla którego pracujesz?Dział zakupów powinien zarządzać kosztami w sposób umożliwiający ich skalowalnie – teraz to ważniejsze, niż kiedykolwiek.Podczas szkolenia omów;999999
Metody oceny dostawców, STRUKTURALNE I METODYCZNE NARZĘDZIA OCENY DOSTAWCÓW I PRECYZYJNEGO DOBORU PARTNERÓW HANDLOWYCH;Usługi;1193.10;970.00;https://static.szkolenia.com/public/posters/16/solberg-banner-2-2021-1634210216.png;1;1;Wielkość wydatków, jakie firmy zostawiają u swoich dostawców, wynosi średnio 60% wartości całego ich obrotu, a niejednokrotnie wskaźnik ten przekracza nawet 85%.W trakcie szkolenia omówione zostanie podejście do oceny w trzech wymiarach:strategicznym – czyli planie rozwoju bazy dostawców,taktycznym – czyli ocena potencjału i stabilności finansowej naszych kontrahentów, z którymi rozpoczynamy współpracę.operacyjnym, tworząc kompleksowe narzędzie do oceny współpracy z dostawcą. KorzyściPoznasz st;999999
online - Techniki sprzedaży pozyskiwania i obsługi klientów;Usługi;1217.70;990.00;https://static.szkolenia.com/public/posters/16/lubuski-instytut-jakosci-trudne-szkolenia-prosto-robione-1630056707.png;1;1;CEL I PROGRAM SZKOLENIAIstnieją opinie, że cała działalność człowieka jest sprzedawaniem – albo ktoś nas i firmę ,,kupi” – zaakceptuje produkty, wizerunek, profesjonalizm, kompetencje, umiejętności – albo ,,nie kupi”. Na tym szkoleniu chcemy przekazać uczestnikom nie tylko umiejętności merytoryczne, sprawdzone metody i techniki sprzedawania, ale przede wszystkim umiejętność wzmacniania i zarządzania własnymi zasobami, tworzenia postawy aktywności, sukcesu i obopólnych korzyści. Chcielibyśmy, ab;999999
Train the Trainer - szkolenie dla Trenerów;Usługi;1599.00;1300.00;https://static.szkolenia.com/public/posters/16/progress-1621838365.png;1;1;Zakres tematyczny szkoleniaUzyskane umiejętności:precyzyjne i zrozumiałe przekazywanie wiedzyciekawe i perswazyjne mówieniepoprawne i skuteczne formułowanie celów i zadańkształtowanie u uczących się postawy odpowiedzialności za efektegzekwowanie umówudzielanie feedbackuodmawianiewyrażanie próśb i oczekiwań we współpracy z traineeumiejętność ciekawego mówieniastosowanie przykładówkorzystanie z wizualnych elementów prezentacjiradzenie sobie z tremą Szkolenie składa się z trzech bloków: rola trene;999999
Negocjacje w biznesie;Usługi;1599.00;1300.00;https://static.szkolenia.com/public/posters/16/banner-edufuturo-1-1603451922.png;1;1;Zakres tematyczny szkoleniaNegocjacje to komunikacja, przebiegająca w trudnych warunkach: różnicy zdań, wysokiej  stawki i silnych emocji.  Negocjacje to sekwencja posunąć stron częściowego konfliktu interesów, w której dążą one do jego, możliwie najkorzystniejszego, rozwiązania. Negocjacje jak widać w poniższej tabeli są złotym środkiem między ucieczką, a walką.Negocjacje łączą się, sprzyjają, idą ręka w rękę z asertywnością, pozytywnym napięciem, spójnością, produktywnością, celowością. Szkol;999999
Negocjacje zakupowe;Usługi;1599.00;1300.00;https://static.szkolenia.com/public/posters/16/baner_szkolenia_com_theta_980_x_130px_last-1612166468.jpg;1;1;Zakres tematyczny szkoleniaNegocjacje to komunikacja, przebiegająca w trudnych warunkach: różnicy zdań, wysokiej  stawki i silnych emocji.  Negocjacje to sekwencja posunąć stron częściowego konfliktu interesów, w której dążą one do jego, możliwie najkorzystniejszego, rozwiązania. Negocjacje jak widać w poniższej tabeli są złotym środkiem między ucieczką, a walką.Negocjacje łączą się, sprzyjają, idą ręka w rękę z asertywnością, pozytywnym napięciem, spójnością, produktywnością, celowością. Szkol;999999
